-7.0,6.0,-1.0,12.0,18.0,1.0,-4.0,9.0,0.0,-11.0,-3.0,-5.0,-3.0,-1.0,2.0,-3.0,-7.0,-5.0,-3.0,-8.0,-11.0,-5.0,-1.0,-4.0,-7.0,-1.0,-1.0,-5.0,-8.0,-5.0,-7.0,-6.0,-2.0,3.0,-1.0,-5.0,-8.0,4.0,-3.0,-14.0,-17.0,15.0,1.0,-1.0,-1.0,4.0,1.0,9.0,37.0,-12.0,-5.0,-1.0,2.0,7.0,3.0,3.0,-32.0,2.0,0.0,1.0,10.0,4.0,1.0,3.0,5
11.0,15.0,-1.0,-1.0,3.0,-4.0,-4.0,-2.0,-1.0,3.0,0.0,-2.0,-2.0,1.0,3.0,-2.0,-51.0,-35.0,-3.0,-5.0,-6.0,-3.0,-5.0,-11.0,9.0,38.0,-1.0,-1.0,5.0,6.0,5.0,16.0,25.0,0.0,2.0,1.0,-3.0,-2.0,-5.0,-8.0,-11.0,0.0,-1.0,-7.0,-6.0,7.0,1.0,-1.0,-3.0,-1.0,-1.0,6.0,2.0,-5.0,-5.0,-4.0,-16.0,-7.0,-1.0,-12.0,-11.0,3.0,0.0,-2.0,5
-7.0,20.0,1.0,13.0,20.0,5.0,0.0,-1.0,6.0,6.0,-2.0,2.0,2.0,1.0,1.0,9.0,-14.0,8.0,-2.0,4.0,1.0,1.0,2.0,3.0,-1.0,-19.0,-4.0,-1.0,2.0,-9.0,-9.0,-21.0,-16.0,-3.0,-1.0,-12.0,-30.0,-11.0,-2.0,4.0,10.0,-2.0,2.0,0.0,7.0,-6.0,-4.0,1.0,-16.0,-2.0,-4.0,1.0,2.0,1.0,1.0,-2.0,14.0,2.0,1.0,-7.0,-11.0,0.0,-1.0,-4.0,5
-4.0,-6.0,-2.0,-1.0,-3.0,-1.0,0.0,-8.0,-7.0,-2.0,-2.0,-1.0,2.0,3.0,2.0,3.0,-13.0,12.0,-3.0,-4.0,-4.0,-1.0,-1.0,-1.0,2.0,4.0,-1.0,4.0,4.0,-2.0,-4.0,-5.0,4.0,1.0,-1.0,-1.0,5.0,7.0,5.0,3.0,13.0,13.0,-3.0,-4.0,-12.0,-16.0,-11.0,-5.0,9.0,29.0,4.0,-1.0,6.0,9.0,3.0,8.0,-16.0,4.0,-4.0,0.0,-4.0,-4.0,7.0,2.0,5
-15.0,-9.0,-3.0,-4.0,-1.0,-7.0,-12.0,2.0,0.0,-5.0,-1.0,3.0,4.0,-3.0,-5.0,-11.0,5.0,4.0,1.0,0.0,1.0,5.0,5.0,5.0,7.0,-2.0,-1.0,-15.0,-15.0,-7.0,-8.0,0.0,-11.0,-8.0,-2.0,9.0,7.0,6.0,1.0,-15.0,-14.0,-7.0,-1.0,-2.0,0.0,-2.0,0.0,24.0,-4.0,-6.0,0.0,-2.0,-10.0,-8.0,-3.0,1.0,-8.0,-15.0,-3.0,0.0,6.0,8.0,2.0,-1.0,5
8.0,-3.0,-1.0,-9.0,-14.0,-7.0,2.0,1.0,-1.0,-2.0,1.0,1.0,-1.0,0.0,-1.0,-4.0,-16.0,-9.0,-1.0,1.0,0.0,-2.0,4.0,-4.0,-14.0,-8.0,-4.0,-4.0,-4.0,-3.0,-3.0,-10.0,3.0,24.0,1.0,1.0,2.0,6.0,-2.0,8.0,10.0,6.0,1.0,11.0,10.0,-2.0,2.0,-5.0,1.0,-12.0,-4.0,-11.0,-11.0,-9.0,-11.0,-7.0,11.0,-5.0,1.0,10.0,12.0,4.0,0.0,1.0,5
-20.0,-9.0,-3.0,-2.0,1.0,-5.0,-5.0,-4.0,9.0,-5.0,-2.0,-4.0,-3.0,6.0,7.0,1.0,18.0,1.0,1.0,-4.0,-5.0,3.0,1.0,3.0,-16.0,-39.0,3.0,4.0,0.0,-3.0,-3.0,0.0,3.0,-6.0,-1.0,4.0,7.0,-1.0,-1.0,-8.0,-26.0,-10.0,-2.0,-3.0,0.0,1.0,-1.0,12.0,54.0,7.0,-1.0,2.0,1.0,2.0,11.0,3.0,4.0,3.0,-3.0,0.0,-1.0,-2.0,-3.0,0.0,5
-12.0,0.0,1.0,-2.0,0.0,5.0,4.0,7.0,9.0,-9.0,-5.0,-5.0,-11.0,-5.0,-7.0,-13.0,-12.0,-2.0,-1.0,-11.0,-2.0,-3.0,3.0,-7.0,7.0,16.0,3.0,7.0,0.0,-2.0,-4.0,8.0,16.0,0.0,0.0,6.0,22.0,4.0,5.0,-8.0,-9.0,3.0,-4.0,-7.0,-8.0,-9.0,-7.0,-3.0,3.0,-6.0,1.0,5.0,-2.0,1.0,-7.0,-2.0,-9.0,3.0,-4.0,-9.0,-2.0,0.0,-1.0,-8.0,5
-4.0,-13.0,-4.0,-9.0,-13.0,-4.0,-4.0,-7.0,11.0,7.0,2.0,5.0,5.0,16.0,11.0,12.0,-36.0,-17.0,-4.0,-4.0,-5.0,-15.0,-9.0,-13.0,34.0,5.0,1.0,0.0,-2.0,-2.0,-3.0,-13.0,28.0,6.0,-2.0,-2.0,-2.0,-3.0,4.0,31.0,-4.0,-18.0,2.0,-1.0,-2.0,0.0,2.0,-6.0,4.0,4.0,-1.0,3.0,3.0,2.0,-8.0,-2.0,-23.0,0.0,-5.0,-4.0,-6.0,3.0,2.0,-7.0,5
5.0,7.0,1.0,-9.0,-14.0,0.0,-2.0,-2.0,-1.0,31.0,3.0,19.0,30.0,12.0,4.0,6.0,-23.0,-18.0,-3.0,-4.0,-3.0,-2.0,3.0,-3.0,18.0,20.0,0.0,-1.0,0.0,0.0,0.0,2.0,5.0,-5.0,1.0,4.0,10.0,14.0,4.0,1.0,25.0,11.0,-1.0,-13.0,-27.0,-14.0,2.0,8.0,-10.0,1.0,-1.0,3.0,0.0,-2.0,-6.0,-2.0,-31.0,-12.0,-3.0,-8.0,-1.0,7.0,7.0,-4.0,5
10.0,-4.0,-4.0,13.0,2.0,-8.0,-19.0,-13.0,-5.0,-11.0,0.0,-6.0,-6.0,1.0,0.0,2.0,18.0,35.0,5.0,4.0,15.0,12.0,15.0,-2.0,15.0,-9.0,-1.0,-2.0,-2.0,-6.0,-10.0,6.0,-10.0,5.0,-2.0,-2.0,0.0,-10.0,7.0,11.0,-27.0,-9.0,-1.0,-1.0,-2.0,-1.0,-4.0,-15.0,5.0,-8.0,1.0,-7.0,-12.0,-9.0,-1.0,-2.0,4.0,-12.0,-2.0,-2.0,-5.0,-2.0,-7.0,-7.0,5
7.0,6.0,2.0,4.0,12.0,0.0,3.0,6.0,-26.0,-21.0,-6.0,-1.0,3.0,15.0,10.0,5.0,4.0,-5.0,-6.0,-6.0,-9.0,-17.0,-19.0,-11.0,-19.0,-2.0,-4.0,-8.0,-7.0,7.0,9.0,8.0,34.0,9.0,2.0,11.0,7.0,-4.0,-1.0,-2.0,5.0,-8.0,-2.0,-3.0,3.0,-5.0,-5.0,2.0,-14.0,-22.0,-1.0,-3.0,-5.0,11.0,3.0,-2.0,25.0,17.0,0.0,6.0,1.0,-4.0,2.0,-2.0,5
0.0,-2.0,0.0,-10.0,-4.0,-1.0,-4.0,0.0,9.0,23.0,1.0,1.0,5.0,5.0,-2.0,1.0,-5.0,-14.0,-2.0,1.0,-1.0,2.0,4.0,-14.0,-8.0,-3.0,2.0,1.0,3.0,-5.0,-5.0,14.0,-31.0,-2.0,-1.0,-7.0,-10.0,1.0,0.0,-1.0,64.0,24.0,1.0,3.0,7.0,3.0,2.0,4.0,-30.0,-8.0,-2.0,-3.0,-7.0,-16.0,-5.0,-10.0,-5.0,2.0,-3.0,-3.0,-2.0,5.0,6.0,1.0,5
7.0,-9.0,-5.0,4.0,1.0,-1.0,-2.0,-7.0,-16.0,-14.0,1.0,-1.0,0.0,-9.0,4.0,4.0,12.0,5.0,0.0,-4.0,-9.0,-2.0,-12.0,2.0,-3.0,6.0,-2.0,6.0,16.0,-1.0,-1.0,-9.0,-4.0,-46.0,-4.0,-5.0,-6.0,-7.0,3.0,7.0,-19.0,-1.0,0.0,1.0,1.0,2.0,-2.0,-10.0,5.0,9.0,-1.0,-6.0,-5.0,1.0,3.0,4.0,13.0,13.0,-2.0,6.0,-2.0,2.0,-7.0,-8.0,5
-4.0,6.0,-1.0,-9.0,-8.0,2.0,-3.0,0.0,14.0,-3.0,1.0,7.0,3.0,-2.0,10.0,10.0,-17.0,4.0,-1.0,-5.0,-1.0,4.0,5.0,3.0,-9.0,-14.0,-4.0,2.0,-2.0,1.0,4.0,1.0,8.0,27.0,5.0,-2.0,-7.0,-5.0,-6.0,-14.0,-9.0,-32.0,-4.0,-4.0,0.0,-3.0,-2.0,27.0,1.0,-42.0,-3.0,-2.0,-4.0,-4.0,-4.0,-6.0,-1.0,5.0,-1.0,-4.0,-6.0,-1.0,0.0,-6.0,5
-5.0,-12.0,-3.0,0.0,5.0,-6.0,0.0,3.0,-18.0,-1.0,-4.0,-3.0,-8.0,-5.0,-4.0,-14.0,-9.0,-5.0,0.0,4.0,5.0,3.0,-8.0,-5.0,6.0,-1.0,-1.0,0.0,0.0,-1.0,0.0,2.0,-16.0,-13.0,-3.0,-3.0,-4.0,-6.0,-5.0,4.0,-8.0,20.0,-2.0,2.0,0.0,3.0,-3.0,-2.0,36.0,8.0,-2.0,2.0,6.0,-2.0,-5.0,-4.0,-10.0,-3.0,-1.0,-4.0,-9.0,-2.0,-2.0,-9.0,5
-11.0,7.0,1.0,-1.0,-1.0,-1.0,5.0,16.0,7.0,-7.0,0.0,-4.0,-9.0,-2.0,5.0,-4.0,31.0,19.0,-1.0,5.0,9.0,1.0,-5.0,-2.0,-12.0,-35.0,-4.0,-1.0,2.0,-2.0,-6.0,12.0,-11.0,-22.0,-3.0,-2.0,3.0,-1.0,2.0,-8.0,-23.0,-13.0,-4.0,-9.0,-12.0,-3.0,-3.0,-18.0,-12.0,-2.0,-2.0,1.0,-5.0,-3.0,2.0,12.0,4.0,13.0,0.0,2.0,14.0,3.0,4.0,-7.0,5
12.0,8.0,-2.0,-1.0,-2.0,1.0,0.0,0.0,-8.0,2.0,-2.0,0.0,6.0,4.0,0.0,2.0,-8.0,2.0,0.0,-3.0,-5.0,-3.0,1.0,-3.0,-6.0,5.0,-1.0,0.0,-3.0,-3.0,-5.0,-7.0,-8.0,-2.0,-1.0,-6.0,-10.0,1.0,-5.0,-7.0,7.0,-15.0,1.0,5.0,5.0,0.0,-4.0,-3.0,-9.0,3.0,1.0,-1.0,-2.0,1.0,7.0,12.0,-3.0,8.0,2.0,3.0,9.0,-3.0,-8.0,-11.0,5
-3.0,-2.0,-4.0,-1.0,4.0,-1.0,4.0,-2.0,-15.0,-10.0,-5.0,-7.0,-12.0,-5.0,-5.0,-16.0,21.0,14.0,2.0,3.0,2.0,1.0,-3.0,1.0,-9.0,-2.0,0.0,-2.0,-5.0,-7.0,-2.0,-1.0,0.0,-9.0,-3.0,-11.0,-9.0,2.0,2.0,2.0,4.0,-43.0,-6.0,2.0,6.0,5.0,2.0,3.0,-13.0,3.0,0.0,-2.0,-6.0,-16.0,-5.0,1.0,23.0,10.0,-2.0,0.0,-5.0,-7.0,-13.0,-10.0,5
-3.0,-2.0,-1.0,-3.0,1.0,3.0,0.0,-2.0,11.0,24.0,4.0,3.0,-2.0,1.0,3.0,6.0,-15.0,-7.0,1.0,1.0,-3.0,6.0,4.0,4.0,-15.0,-4.0,0.0,-1.0,2.0,3.0,4.0,-5.0,-17.0,15.0,1.0,0.0,-6.0,-3.0,5.0,3.0,10.0,-11.0,-2.0,-6.0,-3.0,-7.0,-6.0,5.0,28.0,7.0,5.0,3.0,11.0,11.0,-5.0,-5.0,19.0,27.0,5.0,0.0,0.0,1.0,4.0,6.0,5
-9.0,-15.0,-4.0,-2.0,-1.0,5.0,-4.0,2.0,-13.0,7.0,-1.0,0.0,-2.0,4.0,7.0,-5.0,-14.0,-8.0,-3.0,1.0,4.0,6.0,-1.0,1.0,4.0,-3.0,-2.0,1.0,4.0,-2.0,-4.0,-3.0,9.0,3.0,-1.0,-1.0,-2.0,-2.0,-1.0,-7.0,13.0,4.0,3.0,-2.0,-5.0,5.0,11.0,9.0,-20.0,6.0,-4.0,-3.0,-10.0,-10.0,-13.0,-12.0,24.0,-50.0,-9.0,-4.0,1.0,0.0,1.0,1.0,5
-7.0,-1.0,3.0,0.0,-8.0,-11.0,-5.0,-4.0,-6.0,10.0,0.0,-5.0,-7.0,-7.0,-10.0,-3.0,-7.0,-1.0,0.0,-1.0,1.0,5.0,5.0,2.0,-5.0,14.0,-1.0,1.0,5.0,5.0,2.0,3.0,2.0,-8.0,-4.0,-2.0,0.0,6.0,2.0,5.0,0.0,-2.0,1.0,-8.0,-14.0,-1.0,3.0,-21.0,-57.0,-2.0,-4.0,2.0,-8.0,-18.0,-12.0,1.0,64.0,15.0,0.0,-9.0,-6.0,-7.0,-8.0,21.0,5
-5.0,-22.0,-5.0,4.0,7.0,0.0,-3.0,-7.0,33.0,15.0,1.0,6.0,12.0,2.0,7.0,7.0,-2.0,-4.0,1.0,0.0,10.0,6.0,8.0,-4.0,-28.0,25.0,0.0,-4.0,-11.0,-2.0,6.0,-7.0,-5.0,-2.0,-1.0,-1.0,-2.0,-2.0,-3.0,-1.0,-11.0,-4.0,-3.0,0.0,-9.0,-1.0,0.0,2.0,14.0,-5.0,-7.0,-5.0,-8.0,-15.0,-10.0,-4.0,5.0,-13.0,-1.0,0.0,-1.0,3.0,0.0,-2.0,5
9.0,2.0,2.0,8.0,12.0,7.0,-2.0,-5.0,-13.0,4.0,0.0,-2.0,1.0,3.0,0.0,2.0,18.0,7.0,1.0,1.0,3.0,10.0,5.0,8.0,-23.0,-4.0,-2.0,-1.0,2.0,2.0,-4.0,-13.0,-9.0,2.0,-1.0,-4.0,-8.0,-12.0,1.0,-5.0,9.0,1.0,-3.0,-3.0,-2.0,-2.0,-12.0,1.0,-5.0,-21.0,2.0,-4.0,1.0,-2.0,7.0,-11.0,-54.0,-15.0,-4.0,-10.0,-20.0,-11.0,-6.0,5.0,5
41.0,15.0,1.0,6.0,16.0,12.0,4.0,-2.0,11.0,10.0,4.0,6.0,7.0,-1.0,0.0,12.0,6.0,3.0,-4.0,-1.0,2.0,10.0,9.0,-9.0,-8.0,-12.0,2.0,1.0,5.0,-1.0,-1.0,-6.0,-11.0,2.0,-1.0,-3.0,1.0,0.0,-3.0,2.0,-19.0,-13.0,-3.0,-5.0,-15.0,-10.0,-3.0,-13.0,21.0,13.0,4.0,3.0,-2.0,-8.0,-16.0,3.0,5.0,9.0,-3.0,-1.0,-4.0,-4.0,-4.0,-4.0,5
-4.0,-1.0,-3.0,-8.0,-3.0,5.0,2.0,8.0,8.0,3.0,0.0,3.0,2.0,2.0,3.0,2.0,-16.0,-11.0,-5.0,-9.0,-9.0,2.0,7.0,1.0,10.0,7.0,2.0,11.0,13.0,2.0,-3.0,5.0,2.0,6.0,-3.0,-4.0,-4.0,-10.0,-5.0,-17.0,-6.0,-12.0,-2.0,1.0,1.0,1.0,2.0,24.0,-6.0,-18.0,0.0,-6.0,0.0,1.0,-3.0,-3.0,-24.0,-3.0,-5.0,-5.0,-8.0,-4.0,1.0,4.0,5
10.0,4.0,2.0,4.0,-1.0,-5.0,-3.0,5.0,25.0,9.0,0.0,-1.0,3.0,-3.0,-6.0,-16.0,11.0,4.0,-2.0,5.0,7.0,2.0,-1.0,21.0,1.0,3.0,4.0,3.0,4.0,2.0,0.0,-7.0,-35.0,-24.0,-4.0,-9.0,-5.0,-1.0,-7.0,-8.0,-18.0,-56.0,-8.0,-3.0,-14.0,-10.0,-7.0,-5.0,38.0,21.0,-2.0,-5.0,-2.0,1.0,2.0,-4.0,-9.0,10.0,4.0,4.0,0.0,-6.0,1.0,1.0,5
-2.0,-6.0,-2.0,4.0,11.0,3.0,2.0,8.0,1.0,21.0,2.0,0.0,1.0,0.0,1.0,-2.0,-2.0,-2.0,-1.0,2.0,2.0,4.0,1.0,-8.0,0.0,-10.0,-1.0,-3.0,-7.0,-1.0,3.0,3.0,10.0,13.0,0.0,-4.0,-9.0,-7.0,-3.0,-8.0,-14.0,-8.0,-4.0,-2.0,-2.0,-1.0,-6.0,0.0,-3.0,-2.0,0.0,-4.0,-5.0,0.0,1.0,0.0,17.0,11.0,1.0,6.0,4.0,1.0,2.0,-6.0,5
-57.0,-12.0,-5.0,-8.0,-8.0,0.0,-3.0,-2.0,64.0,23.0,4.0,4.0,6.0,4.0,8.0,14.0,-5.0,-9.0,-2.0,6.0,4.0,0.0,-5.0,-6.0,42.0,1.0,1.0,-4.0,0.0,1.0,-3.0,1.0,-8.0,12.0,-1.0,0.0,-2.0,0.0,-5.0,-4.0,-30.0,3.0,-3.0,-5.0,-2.0,-1.0,-5.0,-9.0,2.0,3.0,3.0,-2.0,-4.0,-2.0,-3.0,2.0,-2.0,-14.0,-3.0,0.0,5.0,1.0,1.0,1.0,5
17.0,10.0,-1.0,1.0,-2.0,-1.0,3.0,3.0,-13.0,10.0,1.0,-11.0,-7.0,0.0,7.0,-5.0,1.0,2.0,-2.0,9.0,9.0,-4.0,-1.0,7.0,-18.0,-10.0,-6.0,-5.0,3.0,10.0,0.0,-4.0,18.0,29.0,3.0,-4.0,-8.0,2.0,1.0,0.0,-16.0,-23.0,-1.0,6.0,12.0,-9.0,-11.0,-8.0,-5.0,7.0,-1.0,-3.0,-7.0,-2.0,-3.0,-6.0,-45.0,-9.0,-3.0,-4.0,0.0,5.0,0.0,-4.0,5
45.0,6.0,0.0,-6.0,-6.0,-1.0,6.0,10.0,-20.0,2.0,1.0,11.0,11.0,-2.0,-2.0,-10.0,44.0,1.0,1.0,-2.0,-4.0,-3.0,1.0,6.0,-8.0,6.0,-1.0,3.0,10.0,-5.0,0.0,-5.0,-18.0,-12.0,-6.0,-6.0,-12.0,-6.0,1.0,1.0,-8.0,1.0,1.0,-6.0,-5.0,2.0,-5.0,-15.0,-7.0,-9.0,-4.0,-2.0,-1.0,5.0,2.0,0.0,-11.0,5.0,-4.0,-1.0,-4.0,-14.0,-9.0,-20.0,5
-7.0,-12.0,-4.0,-3.0,8.0,-4.0,-4.0,4.0,40.0,23.0,3.0,10.0,-2.0,-5.0,1.0,10.0,-21.0,-6.0,0.0,-3.0,-1.0,8.0,9.0,0.0,16.0,-33.0,-5.0,-6.0,-4.0,-1.0,-9.0,-4.0,-11.0,-11.0,0.0,4.0,4.0,3.0,4.0,-8.0,-20.0,-6.0,-3.0,-5.0,-1.0,4.0,-6.0,0.0,16.0,5.0,1.0,-2.0,-3.0,-5.0,-1.0,-3.0,9.0,12.0,3.0,-2.0,-10.0,-1.0,0.0,2.0,5
16.0,-12.0,-2.0,0.0,2.0,-12.0,-4.0,3.0,-33.0,-7.0,-2.0,-2.0,0.0,7.0,6.0,3.0,-4.0,-12.0,-1.0,-2.0,1.0,3.0,3.0,-4.0,7.0,37.0,3.0,0.0,-5.0,4.0,4.0,7.0,-3.0,1.0,-2.0,-10.0,-10.0,-2.0,-10.0,-8.0,-5.0,0.0,-3.0,5.0,-4.0,-4.0,-4.0,-8.0,-5.0,7.0,3.0,3.0,6.0,-10.0,1.0,0.0,7.0,8.0,2.0,-1.0,-9.0,-4.0,-1.0,24.0,5
-27.0,-12.0,-2.0,5.0,11.0,7.0,8.0,-4.0,23.0,12.0,1.0,-6.0,-5.0,1.0,7.0,8.0,-9.0,-1.0,-3.0,-5.0,-9.0,-5.0,-9.0,-19.0,3.0,-20.0,-2.0,-1.0,1.0,-6.0,2.0,2.0,-12.0,13.0,1.0,0.0,-4.0,-3.0,-3.0,4.0,-40.0,-38.0,-7.0,-7.0,-2.0,-3.0,-8.0,-14.0,30.0,7.0,0.0,1.0,0.0,-3.0,-5.0,11.0,-19.0,-4.0,0.0,0.0,2.0,11.0,5.0,-16.0,5
24.0,-15.0,1.0,1.0,2.0,9.0,3.0,7.0,-3.0,6.0,1.0,-2.0,-6.0,2.0,4.0,0.0,-11.0,-3.0,-3.0,8.0,10.0,-10.0,-5.0,1.0,-5.0,1.0,-4.0,-1.0,-2.0,2.0,-2.0,-3.0,-5.0,4.0,1.0,-2.0,-4.0,-4.0,-2.0,-6.0,21.0,4.0,0.0,0.0,3.0,-1.0,-1.0,13.0,-36.0,-1.0,-2.0,-11.0,-17.0,1.0,2.0,-11.0,16.0,-36.0,-5.0,6.0,18.0,0.0,-2.0,2.0,5
-7.0,5.0,6.0,7.0,4.0,-5.0,-7.0,-9.0,10.0,-53.0,-8.0,-8.0,-2.0,0.0,-1.0,9.0,-18.0,9.0,-4.0,-1.0,-7.0,-2.0,-5.0,-2.0,-10.0,14.0,3.0,-4.0,-11.0,-2.0,5.0,-2.0,-6.0,-4.0,-2.0,5.0,5.0,2.0,-11.0,-9.0,33.0,18.0,0.0,-5.0,0.0,-2.0,-4.0,-8.0,-22.0,-24.0,-3.0,0.0,-4.0,-6.0,3.0,7.0,2.0,5.0,-3.0,-2.0,0.0,-6.0,-3.0,-9.0,5
4.0,14.0,-1.0,2.0,-7.0,-7.0,-3.0,7.0,-27.0,-9.0,-1.0,-3.0,-4.0,-3.0,-6.0,-8.0,12.0,-2.0,1.0,3.0,8.0,1.0,-5.0,-1.0,5.0,8.0,2.0,3.0,0.0,4.0,2.0,-4.0,-51.0,-15.0,-4.0,-1.0,6.0,-5.0,-3.0,2.0,37.0,21.0,2.0,-5.0,-9.0,0.0,0.0,-2.0,0.0,5.0,-4.0,-4.0,-1.0,-1.0,3.0,5.0,2.0,-7.0,-1.0,-7.0,-6.0,-3.0,-2.0,-3.0,5
-7.0,-3.0,-1.0,5.0,6.0,5.0,3.0,-17.0,-23.0,10.0,-2.0,0.0,7.0,5.0,5.0,34.0,19.0,-21.0,0.0,-3.0,-3.0,0.0,-8.0,-6.0,3.0,14.0,2.0,0.0,1.0,8.0,3.0,3.0,23.0,32.0,5.0,-5.0,-14.0,-7.0,9.0,17.0,-4.0,2.0,-2.0,2.0,6.0,4.0,4.0,-14.0,5.0,13.0,-1.0,-1.0,0.0,3.0,0.0,-2.0,-8.0,-4.0,-2.0,-2.0,-9.0,-6.0,3.0,4.0,5
7.0,-23.0,-4.0,-7.0,-7.0,-3.0,-14.0,-3.0,-31.0,1.0,0.0,4.0,8.0,2.0,4.0,-6.0,41.0,2.0,0.0,0.0,1.0,0.0,0.0,11.0,5.0,6.0,1.0,1.0,11.0,6.0,1.0,-9.0,-2.0,-8.0,-3.0,-7.0,-5.0,-2.0,-1.0,-1.0,-1.0,-2.0,-1.0,3.0,-5.0,-10.0,-9.0,-6.0,-24.0,-4.0,0.0,0.0,4.0,3.0,1.0,-2.0,0.0,9.0,0.0,-3.0,-2.0,0.0,-2.0,-9.0,5
-2.0,-12.0,0.0,2.0,0.0,-3.0,4.0,13.0,7.0,-7.0,-3.0,-4.0,-4.0,-3.0,2.0,-4.0,9.0,15.0,3.0,-4.0,0.0,3.0,-4.0,3.0,-5.0,-4.0,-5.0,-11.0,-18.0,-8.0,-9.0,-5.0,-2.0,-1.0,1.0,12.0,12.0,-11.0,-3.0,-9.0,-4.0,7.0,1.0,0.0,10.0,11.0,6.0,-6.0,-28.0,-10.0,-5.0,4.0,3.0,-5.0,-1.0,1.0,10.0,7.0,1.0,-3.0,-6.0,-3.0,-5.0,2.0,5
25.0,-8.0,-4.0,-9.0,-17.0,-1.0,7.0,-6.0,10.0,5.0,0.0,-2.0,-4.0,-12.0,-14.0,5.0,-10.0,-3.0,-5.0,1.0,7.0,1.0,1.0,-1.0,4.0,-4.0,0.0,0.0,2.0,4.0,-3.0,-1.0,-12.0,9.0,-2.0,-2.0,-3.0,-2.0,1.0,-7.0,5.0,-18.0,-3.0,-2.0,-6.0,-4.0,1.0,-6.0,-16.0,7.0,-3.0,-5.0,2.0,4.0,-1.0,-11.0,-12.0,-6.0,0.0,8.0,12.0,2.0,8.0,11.0,5
10.0,-10.0,-2.0,4.0,5.0,9.0,-7.0,-14.0,-3.0,29.0,3.0,1.0,-1.0,4.0,0.0,2.0,-28.0,-31.0,0.0,-3.0,-7.0,-7.0,-1.0,4.0,16.0,-13.0,-6.0,-5.0,-4.0,-7.0,-1.0,10.0,15.0,9.0,3.0,1.0,4.0,6.0,5.0,4.0,-1.0,10.0,-2.0,-12.0,-18.0,-2.0,-3.0,-6.0,5.0,-6.0,2.0,6.0,5.0,7.0,9.0,-5.0,-22.0,5.0,2.0,3.0,13.0,7.0,-2.0,-6.0,5
-2.0,-15.0,-3.0,-5.0,-12.0,-8.0,-4.0,2.0,12.0,5.0,2.0,2.0,9.0,-1.0,-1.0,-8.0,6.0,17.0,-2.0,-4.0,-7.0,-10.0,-11.0,-5.0,-7.0,-7.0,-3.0,-3.0,1.0,-1.0,2.0,2.0,-4.0,1.0,-2.0,-4.0,-4.0,2.0,7.0,7.0,-8.0,0.0,1.0,1.0,-7.0,-6.0,-1.0,-9.0,-8.0,4.0,1.0,-1.0,-6.0,4.0,1.0,-8.0,16.0,1.0,-5.0,-3.0,5.0,-7.0,-10.0,10.0,5
